ILL_137402_ID	GoLife_ID	ILL_137401_ID
ILL_137402_P001_WA01	5-64.1(2)	
ILL_137402_P001_WA02	2-14.1(2)	
ILL_137402_P001_WA03	2-33.1	
ILL_137402_P001_WA04	32.81.1(2)	
ILL_137402_P001_WA05	33-9.1	
ILL_137402_P001_WA06	34-17.1(2)	
ILL_137402_P001_WA07	1-1.1(2)	
ILL_137402_P001_WA08	1-2.1(2)	
ILL_137402_P001_WA09	5-60.1	
ILL_137402_P001_WA10	5-56.1	
ILL_137402_P001_WA11	5-36.1	
ILL_137402_P001_WA12	5-26.1(2)	
ILL_137402_P001_WB01	5-21.1(2)	
ILL_137402_P001_WB02	30-20.1	
ILL_137402_P001_WB03	6-54.1	P001_WH08
ILL_137402_P001_WB04	7-3.1(2)	
ILL_137402_P001_WB05	7-3.1(1)	P002_WA09
ILL_137402_P001_WB06	5-48.1(2)	P001_WF08
ILL_137402_P001_WB07	5-50.1(2)	P001_WF09
ILL_137402_P001_WB08	42-48.1	
ILL_137402_P001_WB09	42-52.1	P008_WE07
ILL_137402_P001_WB10	42-53.1	P012_WD03
ILL_137402_P001_WB11	42-70.1	P009_WF06
ILL_137402_P001_WB12	50-4.1	
ILL_137402_P001_WC01	50-28.1	
ILL_137402_P001_WC02	38-14.1	
ILL_137402_P001_WC03	50-9.1	
ILL_137402_P001_WC04	41-52.1	P006_WH09
ILL_137402_P001_WC05	35-68.1	P017_WA12
ILL_137402_P001_WC06	42-72.1	P007_WG09
ILL_137402_P001_WC07	38-34.1	P018_WD02
ILL_137402_P001_WC08	42-58.1	
ILL_137402_P001_WC09	42-52.1	P008_WE07
ILL_137402_P001_WC10	45-18.1	
ILL_137402_P001_WC11	45-23.1	
ILL_137402_P001_WC12	45-28.1	
ILL_137402_P001_WD01	45-23.1(2)	
ILL_137402_P001_WD02	45-28.1(2)	
ILL_137402_P001_WD03	45-29.1	P012_WD05
ILL_137402_P001_WD04	45-29.1(2)	
ILL_137402_P001_WD05	41-51.1	P007_WF12
ILL_137402_P001_WD06	DEL-117	
ILL_137402_P001_WD07	DEL-116	P012_WB03
ILL_137402_P001_WD08	DEL-105	P003_WG02
ILL_137402_P001_WD09	DEL-108	
ILL_137402_P001_WD10	DEL-100	
ILL_137402_P001_WD11	45-40.1	
ILL_137402_P001_WD12	45-41.1	
ILL_137402_P001_WE01	45-40.1(2)	
ILL_137402_P001_WE02	45-43.1	P007_WB06
ILL_137402_P001_WE03	46-38.1	P008_WF08
ILL_137402_P001_WE04	46-39.1	P008_WF09
ILL_137402_P001_WE05	46-61.1	P012_WE04
ILL_137402_P001_WE06	38-36.1	P018_WD04
ILL_137402_P001_WE07	LH 143.2	
ILL_137402_P001_WE08	LH 143.4	
ILL_137402_P001_WE09	LH 143.5	
ILL_137402_P001_WE10	35-14.2	P006_WF07
ILL_137402_P001_WE11	30-14.1	
ILL_137402_P001_WE12	7-9.1(2)	P002_WA12
ILL_137402_P001_WF01	1-2.1	
ILL_137402_P001_WF02	40-61.1	P014_WE08
ILL_137402_P001_WF03	42-43.1	P009_WG03
ILL_137402_P001_WF04	DEL 203	P003_WA09
ILL_137402_P001_WF05	BM1-VT3	P014_WA03
ILL_137402_P001_WF06	JZ DEL 104	P004_WC12
ILL_137402_P001_WF07	DEL 204	P003_WA10
ILL_137402_P001_WF08	1-1.1(1)	
ILL_137402_P001_WF09	DEL-087	P003_WG01
ILL_137402_P001_WF10	DEL-092	P015_WH05
ILL_137402_P001_WF11	JZ DEL 011	P011_WF07
ILL_137402_P001_WF12	G14	P021_WE01
ILL_137402_P001_WG01	50-46.1	P017_WB03
ILL_137402_P001_WG02	Q*	P003_WH12
ILL_137402_P001_WG03	CHI 005	P004_WH11
ILL_137402_P001_WG04	3-50.1(1)	
ILL_137402_P001_WG05	46-9.1	P014_WF03
ILL_137402_P001_WG06	46-8.1	P009_WE09
ILL_137402_P001_WG07	46-65.1	P007_WC04
ILL_137402_P001_WG08	51-29.2	P015_WB12
ILL_137402_P001_WG09	41-53.1	P008_WD10
ILL_137402_P001_WG10	DEL-011	P002_WH03
ILL_137402_P001_WG11	De30	P017_WD06
